mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
0.533,0.95,2.959,1.31,0.299,0.287,4.854,0.485,0.0
0.733,0.977,1.451,1.011,0.251,0.285,2.998,0.459,0.0
1.9,0.941,0.768,0.971,0.262,0.246,2.247,0.096,0.0
3.167,0.901,2.304,0.719,0.354,0.387,3.764,0.1,0.0
3.5,0.891,1.581,0.713,0.358,0.482,3.134,0.086,0.0
5.733,0.821,0.8,0.686,0.439,0.45,2.375,0.088,0.0
8.3,0.768,1.075,0.52,0.455,0.444,2.494,0.086,0.0
8.033,0.762,0.634,0.556,0.464,0.513,2.167,0.086,0.0
9.567,0.749,1.087,0.514,0.486,0.472,2.558,0.096,0.0
10.433,0.786,1.431,0.458,0.458,0.427,2.773,0.084,0.0
10.533,0.767,0.604,0.501,0.464,0.416,1.985,0.085,0.0
10.967,0.805,1.329,0.463,0.397,0.356,2.544,0.095,0.0
10.867,0.793,1.024,0.475,0.422,0.298,2.22,0.087,0.0
11.067,0.803,0.494,0.529,0.426,0.358,1.807,0.086,0.0
10.933,0.842,1.192,0.483,0.36,0.316,2.352,0.092,0.0
10.767,0.841,1.716,0.475,0.35,0.274,2.816,0.086,0.0
8.667,0.85,0.948,0.48,0.315,0.299,2.041,0.083,0.0
9.833,0.812,1.172,0.532,0.384,0.233,2.321,0.087,0.0
9.833,0.857,1.583,0.489,0.324,0.242,2.638,0.083,0.0
9.967,0.826,1.258,0.458,0.357,0.252,2.325,0.083,0.0
10.533,0.826,1.043,0.523,0.389,0.279,2.233,0.086,0.0
10.5,0.81,0.975,0.52,0.375,0.247,2.117,0.088,0.0
9.733,0.862,1.296,0.451,0.324,0.242,2.313,0.083,0.0
10.067,0.854,1.157,0.403,0.326,0.228,2.115,0.084,0.0
9.933,0.861,1.074,0.35,0.292,0.206,1.922,0.084,0.0
8.867,0.851,0.857,0.505,0.326,0.245,1.933,0.085,0.0
9.567,0.859,1.267,0.459,0.315,0.207,2.247,0.083,0.0
12.7,0.828,1.167,0.43,0.338,0.23,2.165,0.088,0.0
12.667,0.82,1.5,0.427,0.385,0.244,2.555,0.087,0.0
10.633,0.862,0.721,0.438,0.315,0.211,1.684,0.085,0.0
11.367,0.843,0.926,0.388,0.334,0.222,1.87,0.093,0.0
10.067,0.884,1.33,0.419,0.27,0.199,2.218,0.083,0.0
10.267,0.878,0.682,0.441,0.281,0.195,1.599,0.085,0.0
9.9,0.858,0.929,0.457,0.334,0.211,1.931,0.093,0.0
10.333,0.88,1.307,0.331,0.295,0.183,2.116,0.081,0.0
10.333,0.883,1.37,0.495,0.313,0.193,2.37,0.087,0.0
